Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
217821302,13106226,true,Rx,0,8,A7,00,00,00,00,00,00,00,
220120081,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,29,
225120569,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,2A,
227022182,13106226,true,Rx,0,8,F0,00,00,0E,00,00,00,00,
227852167,1FFF6200,true,Rx,0,3,11,31,31,00,00,00,00,00,
230120337,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,2B,
235120161,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,2C,
236022558,13106226,true,Rx,0,8,F0,00,00,01,00,00,00,00,
240120324,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,2D,
245120180,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,2E,
247852216,1FFF6200,true,Rx,0,3,11,31,31,00,00,00,00,00,
250120560,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,2F,
250521173,13106226,true,Rx,0,8,82,00,00,00,00,00,00,00,
255119961,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,30,
257121756,13106226,true,Rx,0,8,F0,00,00,0E,00,00,00,00,
260120263,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,31,
265120289,13106226,true,Rx,0,8,C3,00,FA,07,4A,FB,00,32,
265467387,13106226,true,Rx,0,8,A3,00,00,02,00,00,00,00,
266161937,13106226,true,Rx,0,8,F0,00,00,01,00,00,00,00,
266986367,13106226,true,Rx,0,8,A8,00,00,00,00,00,00,00,
